x,y,r,g,b
36,21,243,222,217
184,23,229,138,143
33,31,217,197,190
246,23,195,173,176
225,19,243,232,238
184,39,207,195,199
128,26,249,219,211
82,3,211,196,201
19,40,143,134,137
183,13,213,172,168
68,37,202,193,196
228,39,187,177,175
223,16,245,230,225
246,1,178,165,172
28,37,172,163,166
291,29,133,107,106
50,16,196,168,164
253,36,193,184,187
78,10,199,134,176
41,19,215,195,196
42,38,175,166,169
259,15,202,102,104
235,1,182,177,174
213,3,213,198,205
134,27,253,223,223
174,20,208,198,235
39,40,158,149,152
97,6,232,220,222
90,6,244,206,221
187,29,235,230,226
120,31,242,226,236
181,30,252,222,222
235,32,226,210,211
90,8,219,174,194
94,14,255,217,241
48,25,193,177,188
278,23,211,150,129
191,3,223,206,212
47,13,234,217,225
49,21,204,173,189
18,22,236,163,192
5,19,196,119,139
71,11,165,174,147
10,10,160,115,118
42,17,177,155,157
207,3,217,200,206
289,11,199,168,174
298,4,151,143,141
75,26,246,223,231
216,0,191,176,183
218,23,248,226,239
280,28,208,194,185
22,9,184,157,146
233,9,233,219,219
38,23,232,219,213
131,7,234,214,205
241,7,209,208,204
221,34,238,205,188
226,32,208,167,161
24,40,148,139,142
156,3,223,217,219
131,21,208,169,154
127,6,249,219,208
160,26,212,222,247
197,26,247,143,168
254,24,233,213,215
12,34,172,163,166
227,14,246,227,229
34,18,224,193,190
133,37,221,209,213
114,16,221,184,175
192,5,229,213,216
70,33,222,213,216
25,12,210,174,158
242,20,193,166,171
91,1,209,186,192
47,35,199,190,193
262,10,227,192,199
213,16,171,197,172
127,3,234,207,196
261,38,171,162,165
212,1,200,183,193
36,1,170,156,153
114,25,229,192,184
282,27,200,204,187
58,28,240,229,233
26,0,146,140,142
235,11,230,214,215
142,9,201,130,146
167,31,255,221,253
264,12,216,182,183
285,7,176,170,170
26,18,223,170,156
38,26,224,213,207
245,27,235,216,218
32,24,223,195,191
268,25,221,193,172
16,24,170,118,130
66,36,207,198,201
41,27,228,218,216
103,18,237,223,238
199,9,237,219,219
278,14,202,181,150
62,30,227,220,214
69,16,237,227,228
197,23,177,95,109
154,26,215,161,187
152,11,255,193,221
157,3,222,216,218
270,4,176,166,177
226,33,224,185,178
116,9,203,155,133
161,23,192,207,238
53,33,214,205,208
233,36,208,197,195
111,34,231,219,223
98,16,215,202,212
132,39,211,199,203
266,32,204,195,198
15,14,198,126,137
173,23,180,201,220
95,13,255,220,242
215,1,198,183,190
256,35,195,186,189
113,26,242,211,206
299,16,196,187,190
126,5,240,215,208
151,33,243,224,230
184,36,227,215,219
293,31,87,66,65
250,32,214,205,208
244,13,243,219,217
149,10,207,123,139
80,11,228,193,213
263,4,185,177,174
207,4,225,204,211
55,32,218,209,212
163,12,223,219,233
4,11,157,53,76
198,36,225,213,217
110,1,205,192,199
216,1,198,183,190
37,30,214,205,196
227,25,247,228,230
117,25,236,199,191
294,1,137,132,129
252,17,247,218,223
66,35,211,202,205
162,9,254,219,225
169,16,211,215,224
171,20,171,203,218
159,14,228,223,243
4,3,139,144,138
53,24,231,222,227
172,32,240,228,232
105,17,210,196,209
1,9,193,151,155
105,6,229,216,226
129,25,239,211,200
156,39,217,202,207
257,35,194,185,188
0,7,172,154,152
215,2,206,191,198
31,30,189,216,209
217,24,242,225,231
248,20,126,99,104
42,14,182,161,166
243,4,199,190,193
226,1,187,182,179
234,12,216,197,199
31,35,184,175,178
164,30,165,206,212
172,11,253,232,247
192,24,249,181,192
181,21,249,223,236
59,5,208,205,196
22,29,214,201,192
194,23,254,210,211
23,23,186,156,146
1,24,220,164,167
104,14,207,190,226
214,9,220,217,210
287,39,143,134,137
48,10,236,210,213
60,10,158,167,148
127,35,233,221,225
257,36,190,181,184
122,22,212,170,156
177,6,242,211,229
266,27,234,181,191
0,35,156,147,150
141,16,255,165,187
60,24,149,178,147
76,27,237,209,221
264,19,213,110,127
235,26,192,167,163
153,7,238,221,227
181,4,233,207,216
69,23,206,231,192
106,33,235,223,227
259,9,227,177,188
131,32,240,228,232
121,15,229,203,204
8,22,227,187,185
291,32,110,95,100
20,39,152,143,146
125,23,208,166,154
161,32,213,201,205
172,25,162,216,216
293,16,99,78,77
202,28,225,199,200
293,34,167,152,157
58,6,212,209,200
32,36,182,173,176
152,29,255,215,239
103,2,213,201,201
162,36,227,215,219
119,16,212,175,166
118,1,214,195,189
275,18,239,181,157
163,30,150,189,194
66,6,186,204,180
215,3,212,197,202
290,33,147,132,137
147,29,235,233,236
144,10,255,160,171
120,3,218,212,216
142,13,249,225,223
107,24,227,212,233
221,1,193,181,183
274,15,233,172,153
173,29,237,230,222
67,18,245,225,237
147,39,213,201,205
145,22,254,221,230
46,31,226,203,209
24,10,172,140,125
122,34,237,225,229
105,15,197,180,214
111,24,210,195,216
108,38,211,199,203
173,35,233,221,225
112,25,244,207,199
80,7,240,208,223
87,0,184,180,179
233,38,188,185,180
216,27,249,224,219
67,12,231,235,218
193,1,203,190,197
121,16,233,196,187
120,36,227,215,219
125,26,227,196,191
183,36,227,215,219
73,27,237,232,228
68,24,195,221,182
293,23,96,75,74
177,0,181,197,184
81,7,237,209,223
196,11,246,228,226
160,40,204,192,196
236,34,213,203,204
208,13,228,245,213
297,6,166,156,155
154,6,229,223,225
161,39,215,203,207
165,29,199,233,245
204,37,216,204,208
158,30,233,178,220
249,27,204,185,187
1,10,198,153,156
80,19,236,178,218
265,3,181,172,167
211,12,178,190,166
212,3,214,199,206
139,8,223,131,152
131,8,213,180,171
123,34,237,225,229
21,4,172,162,161
283,36,169,160,163
249,33,210,201,204
204,4,226,205,212
12,30,197,187,188
103,17,239,225,238
44,36,192,183,186
88,34,226,214,218
36,31,217,204,196
186,39,207,195,199
206,21,243,161,173
13,21,231,187,188
27,11,218,185,180
11,28,207,151,164
231,22,214,196,196
261,28,219,204,211
225,15,245,225,227
88,32,234,222,226
260,4,186,177,180
54,40,170,161,164
133,23,253,198,195
154,24,217,168,189
298,24,199,187,189
127,16,217,180,171
151,8,255,218,226
201,12,222,160,171
203,13,185,111,126
167,10,239,225,250
224,6,221,211,210
198,32,238,226,230
71,0,182,159,175
37,24,234,219,212
93,37,215,203,207
271,29,226,195,193
120,20,212,170,158
31,27,211,161,152
270,10,221,192,188
36,34,195,186,189
121,29,245,226,230
255,12,200,158,162
214,1,199,182,190
255,6,202,192,193
94,31,246,228,218
138,14,224,113,132
284,7,178,172,172
6,9,163,74,94
74,11,240,218,220
237,9,229,215,215
235,20,191,167,165
164,26,111,190,195
263,31,225,197,219
162,10,254,221,230
286,18,176,196,171
204,38,207,195,199
27,33,195,186,189
165,25,138,194,207
38,11,202,180,182
160,38,218,206,210
198,6,237,216,221
164,23,137,195,209
118,15,233,175,151
5,33,174,165,168
201,33,235,223,227
114,11,230,184,169
134,40,202,190,194
59,33,216,207,210
236,39,177,178,173
20,18,240,187,183
7,40,132,123,126
120,0,194,192,197
258,2,170,169,174
238,5,209,199,198
249,19,169,142,147
75,6,227,209,209
274,19,209,156,124
61,28,220,224,210
65,7,169,192,166
202,15,252,144,170
278,15,196,176,143
140,28,252,219,228
57,18,180,189,162
25,6,192,168,166
263,17,233,125,149
232,40,175,171,168
10,25,186,109,119
15,27,220,167,175
265,24,231,135,147
286,28,185,181,170
157,23,237,198,216
59,35,206,197,200
50,2,180,167,174
246,6,205,199,199
102,20,195,180,199
249,36,196,187,190
34,37,177,168,171
4,21,149,77,88
196,9,238,237,232
289,24,221,191,191
43,38,175,166,169
184,0,188,192,195
217,10,235,227,225
4,36,157,148,151
14,21,215,152,160
211,27,203,210,192
130,14,226,171,150
234,1,183,178,175
1,18,205,172,179
19,28,194,195,181
59,0,173,165,162
114,4,226,214,216
46,0,163,158,162
180,22,235,212,238
22,37,165,156,159
56,34,209,200,203
217,19,237,234,229
293,30,91,70,69
119,19,234,194,182
96,39,201,189,193
143,36,228,216,220
98,4,219,207,211
100,10,221,207,222
38,28,222,213,206
23,22,181,156,151
19,39,151,142,145
53,4,200,188,190
176,3,226,210,211
63,10,179,193,170
244,20,239,212,217
25,20,215,188,181
85,20,255,215,245
48,11,240,211,215
14,11,175,78,98
298,22,200,188,190
235,21,199,174,169
287,14,131,192,133
72,29,235,229,229
297,29,189,174,177
294,11,135,115,117
182,28,240,208,211
293,3,150,145,142
73,16,245,225,224
292,38,144,133,137
194,32,238,226,230
132,25,212,177,171
262,30,212,201,215
160,35,238,226,230
94,17,248,227,244
39,2,178,166,166
175,3,215,214,212
7,2,137,137,135
148,12,224,141,151
180,20,220,211,232
11,2,149,139,140
175,7,247,223,219
194,2,215,198,206
133,36,227,215,219
247,2,186,175,181
189,37,221,209,213
271,5,183,171,183
211,6,223,215,213
19,24,228,199,195
164,39,207,195,199
5,39,141,132,135
120,16,211,174,165
228,17,244,228,231
95,40,194,182,186
283,15,120,160,107
240,8,214,213,209
10,22,217,194,186
25,27,219,151,138
74,6,223,212,206
20,15,245,185,187
294,21,145,125,126
30,39,161,152,155
140,5,243,214,218
118,19,247,207,195
66,21,229,233,216
282,0,141,132,133
237,40,169,170,165
35,7,198,177,174
165,3,219,215,212
256,16,207,72,112
27,34,188,179,182
220,12,243,228,235
33,14,228,198,198
8,11,206,146,154
147,8,235,159,171
267,4,183,174,177
183,25,196,137,143
120,23,241,199,187
80,34,222,210,214
83,21,245,222,238
22,13,197,151,136
143,28,237,231,233
294,16,139,119,120
252,31,226,212,212
134,14,250,223,202
79,15,211,123,201
149,34,238,223,228
177,35,230,218,222
250,37,188,179,182
55,25,231,230,228
17,35,173,164,167
97,10,242,230,230
38,27,225,216,209
131,15,202,177,147
229,17,248,232,235
10,36,160,151,154
2,10,177,114,123
148,38,216,204,208
251,5,198,189,190
134,39,211,199,203
290,23,204,176,175
31,2,169,159,157
14,31,162,192,182
53,31,229,214,221
89,2,213,190,196
121,21,216,174,160
272,33,193,184,187
9,36,159,150,153
231,25,227,206,203
134,28,247,232,227
178,20,167,142,197
17,36,168,159,162
79,33,227,218,221
267,24,231,194,176
57,9,218,216,204
156,7,228,197,212
96,32,238,226,230
229,22,238,226,230
275,9,204,183,178
187,15,255,197,213
227,16,242,226,227
107,19,178,164,181
24,8,175,148,139
241,3,197,186,190
211,10,181,188,170
294,22,143,123,124
171,8,249,226,234
136,30,238,226,226
197,6,236,217,221
121,6,231,224,231
234,38,188,184,181
265,39,163,154,157
109,32,238,226,230
147,18,212,133,136
115,38,213,201,205
188,13,255,206,220
233,4,206,198,196
275,21,228,162,128
205,23,227,154,165
112,6,236,226,234
117,38,213,201,205
120,25,251,214,206
33,4,186,167,163
202,38,207,195,199
112,19,255,221,209
208,22,233,216,198
207,26,255,179,203
11,9,138,85,93
166,25,168,194,217
255,10,212,182,184
294,40,129,120,123
86,22,254,225,245
197,4,228,207,214
109,29,240,228,230
149,39,213,201,205
143,10,223,165,177
264,16,227,107,132
110,21,215,200,221
56,15,214,211,196
68,7,181,201,173
142,7,239,183,196
15,4,161,157,154
273,16,233,198,170
114,27,238,210,209
23,4,174,162,162
24,16,202,141,113
116,30,245,230,237
204,9,242,232,230
165,12,209,217,240
79,24,214,147,190
113,21,252,210,196
204,29,240,237,230
88,16,229,135,187
145,35,232,221,225
179,25,210,176,209
73,33,223,214,217
97,1,200,187,194
247,40,168,159,162
209,34,227,218,221
119,27,249,221,220
189,7,235,224,228
10,37,155,146,149
148,10,205,117,131
276,28,226,186,184
172,4,219,218,213
9,32,179,170,173
49,2,178,165,174
54,35,204,195,198
98,19,196,182,199
23,13,187,146,126
51,9,219,199,200
132,32,240,228,232
22,12,189,147,133
299,39,134,123,127
199,8,239,223,224
99,1,201,189,191
97,16,235,222,232
28,11,222,188,189
61,12,193,207,182
199,27,222,162,174
42,9,215,199,202
45,25,182,157,163
289,23,223,193,193
41,6,201,186,189
76,26,232,200,215
109,1,205,193,197
228,7,224,212,212
195,22,199,161,160
180,3,222,205,211
222,38,202,187,184
57,28,239,223,233
232,22,190,170,169
77,38,199,190,193
30,29,211,204,198
8,34,167,158,161
134,8,255,218,215
99,35,226,214,218
171,26,154,213,209
279,15,202,194,157
4,10,143,44,65
191,36,227,215,219
276,11,220,191,177
247,8,209,199,198
11,3,154,144,143
141,24,249,225,223
46,29,232,209,215
25,34,187,178,181
254,38,176,167,170
225,26,246,225,222
185,5,235,212,218
189,5,233,214,220
151,10,255,190,211
213,34,229,214,211
192,36,225,213,217
14,7,213,147,161
216,17,228,239,222
275,20,217,152,122
39,22,236,223,217
260,2,171,167,164
94,0,182,188,184
280,17,219,203,178
122,40,202,190,194
38,4,189,175,174
277,39,154,145,148
271,13,215,168,148
49,37,189,180,183
217,8,231,221,222
28,22,226,217,210
174,39,211,199,203
60,15,199,213,188
155,6,226,215,221
112,11,255,229,222
98,30,240,228,228
30,31,181,216,210
123,28,234,212,214
41,22,237,221,221
211,29,237,235,220
131,23,206,170,158
234,15,190,170,172
44,18,212,183,188
191,35,230,218,222
137,26,221,150,164
24,18,194,149,130
214,18,202,230,207
159,4,226,217,222
210,32,238,226,226
17,25,199,171,167
295,40,128,119,122
215,25,229,232,223
283,19,154,177,148
250,25,220,200,202
65,13,234,224,223
125,11,253,225,224
34,40,155,146,149
217,40,184,177,184
151,2,225,206,208
91,28,247,203,216
158,23,253,222,237
99,20,180,165,184
50,19,195,166,171
161,17,186,208,229
49,34,206,197,200
14,2,141,154,147
181,17,229,230,225
81,30,249,215,232
280,14,200,205,165
196,35,228,216,220
152,7,244,228,229
235,31,227,215,219
248,32,214,205,208
269,40,153,144,147
228,16,244,228,229
218,28,255,213,209
243,27,212,193,195
157,35,244,218,227
168,9,244,225,244
152,30,255,212,240
90,0,201,176,182
142,35,233,221,225
150,36,230,215,220
41,38,174,165,168
176,33,237,225,229
60,40,174,165,168
22,25,192,168,142
32,7,195,174,171
170,22,193,210,230
12,15,188,197,180
24,13,195,159,137
241,31,228,214,214
80,6,236,204,217
91,21,205,136,180
259,18,217,182,186
67,30,230,220,218
140,11,255,165,191
44,24,192,170,173
77,22,223,156,197
194,35,228,216,220
255,22,217,192,196
12,24,193,120,129
86,36,218,206,210
111,38,211,199,203
255,29,231,215,216
285,37,160,151,154
73,6,221,217,206
49,33,211,202,205
143,9,200,138,151
64,29,220,216,204
57,21,187,203,177
289,2,148,144,141
89,11,228,178,203
96,14,242,231,225
77,30,242,223,225
83,14,232,218,233
106,36,225,213,217
296,0,127,122,119
160,34,245,233,237
139,5,241,216,219
273,23,251,200,157
153,26,240,196,219
280,8,195,187,184
181,22,251,220,235
28,18,218,170,158
58,22,169,192,164
68,18,240,230,231
64,38,192,183,186
8,6,173,147,150
182,32,240,228,232
263,6,196,186,187
71,19,229,233,216
269,4,179,169,178
46,34,203,194,197
117,3,230,206,196
5,40,130,121,124
135,38,215,203,207
198,19,197,48,80
4,8,152,81,95
264,22,210,109,123
284,5,171,160,164
274,1,156,147,148
119,18,225,187,176
277,37,167,158,161
95,29,241,223,219
104,4,220,208,212
249,23,175,153,156
49,36,196,187,190
136,28,251,216,222
272,13,210,151,137
175,5,226,221,215
223,4,213,201,205
30,21,204,227,217
234,25,201,176,171
278,1,153,144,145
265,40,156,147,150
246,24,173,153,155
111,23,231,216,239
15,36,166,157,160
197,14,218,137,154
117,12,221,161,135
21,15,229,174,167
244,28,232,216,217
182,40,200,188,192
55,7,203,194,189
203,5,233,210,216
297,1,134,126,124
138,22,219,118,134
45,23,190,163,170
153,17,255,189,224
25,5,189,169,168
127,36,227,215,219
78,11,201,131,181
87,18,236,157,204
220,0,187,175,177
149,7,246,210,212
216,16,228,239,222
184,8,231,222,215
109,3,219,207,211
8,31,199,180,186
42,20,204,184,185
288,12,203,170,177
295,22,197,178,180
102,36,222,210,214
76,20,251,190,224
143,25,226,238,228
141,5,244,213,218
203,2,207,198,203
22,15,209,160,145
78,18,208,117,176
203,23,255,211,217
197,19,187,33,67
103,20,197,182,201
22,26,193,169,141
61,17,237,229,227
146,0,189,205,194
105,22,221,206,229
73,26,239,234,228
39,0,163,151,151
11,1,144,132,134
40,14,189,167,170
268,11,235,204,199
192,38,211,199,203
231,35,218,199,195
189,0,192,190,193
221,15,243,226,236
7,35,164,155,158
183,2,211,202,207
261,20,248,209,210
51,0,170,159,165
202,36,222,210,214
197,1,198,193,197
91,36,220,208,212
129,23,244,215,201
30,22,215,228,218
163,6,236,227,222
130,39,211,199,203
181,27,230,192,203
84,19,242,195,231
185,17,253,122,128
8,24,219,148,156
289,29,197,167,167
189,26,250,181,186
295,31,175,156,158
170,23,174,199,219
281,27,208,205,190
277,36,173,164,167
6,16,234,160,185
76,15,254,195,241
293,6,161,149,149
120,11,241,210,207
191,0,194,190,191
24,34,186,177,180
102,34,230,218,222
199,4,228,207,214
232,34,223,202,201
49,26,211,202,207
8,12,223,177,179
47,2,181,175,179
42,18,184,162,164
33,33,200,191,194
140,17,254,125,145
86,33,230,218,222
42,28,230,219,217
164,0,208,189,195
260,10,241,188,198
166,8,246,228,240
158,1,209,199,200
10,16,183,221,208
187,28,250,229,226
188,17,237,115,130
71,37,204,195,198
231,38,196,188,185
26,11,216,182,172
33,28,210,187,181
103,7,227,213,228
292,17,116,90,91
145,17,249,134,139
204,31,255,216,224
82,26,238,234,231
299,17,197,188,191
101,21,196,181,202
285,33,179,170,173
132,23,218,173,167
279,8,189,179,177
84,30,234,229,235
77,19,229,151,199
214,35,224,208,208
94,3,205,205,205
145,33,237,226,230
208,18,218,181,173
207,20,255,120,150
163,22,133,184,201
241,10,231,224,218
293,32,129,114,119
147,15,234,196,187
268,16,228,176,154
273,13,208,150,136
63,19,228,231,222
193,10,221,235,222
271,40,152,143,146
179,20,199,185,221
4,17,163,68,98
243,0,176,159,167
147,9,217,129,143
131,10,203,153,142
152,8,255,226,237
85,0,176,182,178
227,10,240,224,225
197,40,195,183,187
118,26,251,220,215
113,25,246,209,201
156,23,206,159,179
209,18,231,203,192
213,12,192,199,181
127,26,255,227,222
261,37,180,171,174
219,39,194,184,185
191,26,213,142,150
139,18,208,90,106
263,7,201,189,193
297,5,159,149,148
20,5,175,167,164
130,17,229,180,163
292,16,115,89,90
54,20,232,233,217
184,32,240,228,232
32,40,154,145,148
111,36,225,213,217
277,6,184,175,178
263,3,180,173,165
225,31,211,164,144
13,17,217,196,201
65,8,149,173,147
11,18,181,212,197
149,30,238,231,238
257,9,195,133,146
259,8,220,180,191
272,14,212,146,130
18,5,173,168,165
169,6,231,225,225
24,21,192,168,164
259,40,160,151,154
138,24,205,118,135
263,15,193,141,143
208,37,204,203,211
227,23,242,231,237
181,15,240,188,201
178,14,193,152,192
288,31,185,155,155
132,29,236,232,223
22,0,147,138,143
149,37,224,209,214
100,19,189,175,192
93,14,253,203,230
279,35,176,167,170
254,4,189,183,185
42,1,167,158,159
36,9,209,188,187
49,5,205,188,194
81,39,193,181,185
54,15,235,220,213
134,16,255,221,202
17,19,171,65,101
57,6,210,205,199
78,8,207,157,182
260,3,179,175,174
68,35,213,204,207
166,0,209,189,191
16,3,161,156,152
252,13,151,104,110
183,24,218,153,159
139,3,215,214,210
7,29,204,169,176
15,26,206,130,142
222,11,242,225,235
109,27,216,203,213
230,12,242,223,225
5,35,162,153,156
2,7,176,146,148
3,12,158,76,90
190,37,221,209,213
247,22,130,105,109
256,3,179,176,187
144,40,206,191,196
66,39,186,177,180
94,39,201,189,193
236,4,204,196,194
173,19,164,188,212
188,6,236,220,223
152,40,204,192,196
243,38,184,175,178
116,25,208,171,163
274,29,206,196,194
77,12,221,155,203
61,27,193,206,186
255,39,169,160,163
47,18,251,213,224
197,3,221,204,210
269,38,166,157,160
250,9,228,210,210
222,33,229,191,170
211,32,239,225,224
76,12,249,195,231
101,38,207,195,199
73,23,202,198,187
81,14,236,204,225
111,30,247,235,235
297,21,205,190,193
254,7,207,195,195
130,28,242,214,211
229,25,245,225,226
219,7,229,217,221
43,2,178,169,172
44,5,197,186,190
124,20,238,196,184
232,12,240,221,223
227,32,208,169,164
73,31,231,220,226
153,11,255,179,210
25,4,179,163,164
148,30,237,232,236
42,0,161,152,153
276,4,170,164,168
147,10,219,127,140
291,21,163,137,136
30,7,198,160,171
33,35,187,178,181
65,37,200,191,194
112,3,205,209,221
136,14,248,166,170
70,19,231,235,218
157,17,239,194,237
288,17,221,191,191
242,17,200,171,176
104,30,246,234,234
69,6,199,213,190
229,40,177,172,169
136,9,251,165,178
164,19,174,219,225
48,38,180,171,174
199,12,237,177,187
157,27,243,193,222
96,37,216,204,208
165,34,243,231,235
248,8,215,205,204
214,5,218,206,208
194,14,255,214,220
127,4,239,211,200
141,19,242,140,153
139,10,232,112,140
261,6,199,184,189
126,28,248,226,228
103,38,207,195,199
181,26,219,178,192
298,8,173,163,162
101,31,237,226,224
298,18,202,190,192
213,24,179,204,182
196,14,247,176,190
56,32,219,210,213
158,17,253,218,255
114,18,226,188,177
2,12,177,120,126
53,19,238,232,216
241,28,228,212,213
231,34,229,205,203
1,15,180,174,162
157,2,220,210,211
70,10,158,175,143
92,4,221,200,207
198,26,216,109,135
83,30,237,224,233
79,27,222,180,200
294,29,137,117,118
233,34,221,203,201
117,20,245,203,191
253,39,170,161,164
27,26,225,142,134
62,34,213,204,207
9,10,157,106,111
93,27,246,212,226
47,8,213,200,207
105,40,196,184,188
184,22,255,156,161
178,23,180,147,200
64,18,255,215,249
84,38,202,190,194
98,22,186,171,194
56,17,205,211,183
138,35,233,221,225
113,7,236,218,218
185,19,255,133,139
132,14,200,187,155
222,15,245,225,237
18,13,203,145,160
231,14,240,221,223
31,17,205,149,136
243,18,222,195,200
40,37,183,174,177
269,5,185,175,184
120,21,222,180,166
201,13,185,102,120
42,36,191,182,185
171,34,237,225,229
131,13,199,161,138
90,35,223,211,215
101,7,229,215,228
290,37,157,145,149
50,39,174,165,168
36,12,233,207,208
130,19,230,184,168
295,13,192,172,174
172,31,238,238,230
290,12,203,172,178
290,29,171,143,142
57,24,214,227,210
200,16,252,192,192
50,7,216,197,201
238,8,227,213,213
299,7,169,161,159
230,29,248,218,210
226,22,244,234,243
129,15,255,182,165
22,20,194,164,162
143,26,228,238,230
19,8,197,179,177
226,5,215,205,204
77,7,231,195,209
33,5,195,176,172
230,0,177,172,169
126,39,211,199,203
177,25,182,149,196
23,10,169,137,122
102,25,242,227,246
278,10,207,193,180
88,40,190,178,182
147,2,207,212,205
74,3,200,189,193
240,1,185,168,176
160,1,207,197,205
185,32,240,228,232
56,40,172,163,166
169,9,246,225,244
288,40,136,127,130
173,33,239,227,231
85,21,252,223,245
175,29,255,217,222
277,11,219,196,180
222,2,201,189,191
51,36,198,189,192
14,17,220,172,186
283,17,148,172,140
147,35,233,221,225
78,33,226,217,220
124,14,249,224,228
287,5,169,157,161
89,26,232,189,208
287,21,196,210,193
223,40,183,172,176
207,9,239,236,231
68,25,171,195,159
255,40,164,155,158
14,38,154,145,148
36,17,233,208,204
110,34,231,219,223
207,29,205,228,212
140,20,255,168,180
139,26,227,173,186
261,14,240,168,172
112,26,239,208,203
31,33,197,188,191
240,36,202,193,196
140,39,213,201,205
232,4,207,199,197
19,17,237,172,166
16,22,169,74,114
160,4,221,220,215
288,2,150,146,143
166,23,220,225,254
127,20,232,190,178
41,10,190,171,175
3,2,141,137,136
225,17,244,228,229
190,3,223,206,212
211,9,190,192,178
29,32,202,193,196
165,13,169,195,218
296,10,185,171,171
120,40,202,190,194
0,40,124,115,118
114,1,201,199,204
0,31,178,163,168
223,23,240,228,248
48,23,192,164,186
187,10,240,229,223
158,38,221,202,208
123,39,211,199,203
71,15,227,226,206
135,25,255,196,206
45,16,246,213,222
129,26,241,212,204
183,6,243,221,224
257,33,204,195,198
131,29,240,225,220
223,0,184,174,175
124,22,215,173,159
128,16,255,186,174
158,27,255,214,241
21,23,216,191,186
287,27,173,169,160
131,1,224,194,206
82,40,187,175,179
104,36,225,213,217
152,4,219,220,215
154,36,235,214,221
233,11,233,217,218
128,23,250,221,207
264,34,192,183,186
235,29,239,223,224
39,24,231,220,214
27,28,238,175,170
291,13,156,125,131
41,33,205,196,199
194,33,235,223,227
180,25,238,203,227
103,36,222,210,214
138,33,238,226,230
94,2,198,203,199
223,14,246,226,238
53,15,220,201,195
133,6,234,225,218
207,10,240,233,227
29,24,234,191,184
232,5,212,202,201
101,3,218,206,208
210,27,228,227,209
280,24,215,190,168
90,3,221,191,201
104,16,230,217,227
28,32,201,192,195
26,25,225,151,140
116,40,200,188,192
242,8,218,214,211
42,35,196,187,190
74,23,235,217,217
221,3,209,197,201
296,40,128,119,122
147,40,204,192,196
241,11,233,222,218
226,31,213,168,147
117,5,248,216,203
8,30,199,172,179
129,39,211,199,203
115,7,237,203,191
199,15,209,102,128
264,9,179,160,164
229,28,248,218,210
297,26,198,183,186
185,6,239,219,221
106,31,234,223,221
74,7,223,210,202
186,21,232,92,101
69,17,237,229,227
37,19,240,219,214
84,11,231,223,234
225,0,181,176,173
99,40,196,184,188
266,33,198,189,192
176,8,220,201,223
58,18,164,172,149
214,29,237,228,211
283,9,165,169,155
280,13,197,198,164
289,4,160,152,150
169,28,218,224,240
185,28,244,223,218
134,17,255,220,202
123,36,227,215,219
99,0,195,183,185
245,2,188,175,182
161,19,191,198,227
263,13,214,168,170
239,12,212,193,195
24,33,193,184,187
200,0,184,188,189
128,24,247,219,207
26,22,241,213,209
0,20,199,184,179
128,40,202,190,194
272,2,164,155,158
69,33,222,213,216
25,17,208,143,123
63,39,181,172,175
97,3,213,201,205
241,5,202,198,197
66,38,192,183,186
91,4,227,197,207
250,1,174,163,169
48,15,244,212,215
42,31,211,201,199
129,38,215,203,207
110,16,241,228,238
142,32,238,226,230
126,18,222,184,173
71,10,160,170,143
272,25,201,169,130
82,29,243,223,234
261,19,249,210,213
221,13,244,227,237
71,24,163,179,152
170,39,211,199,203
263,36,186,177,180
191,14,224,134,169
253,25,243,223,225
118,8,230,191,176
36,16,233,208,204
282,30,188,194,182
299,1,134,124,123
176,40,200,188,192
216,32,209,181,170
185,35,230,218,222
41,2,177,167,168
216,34,233,210,202
107,26,236,222,237
50,14,216,187,189
269,1,160,149,157
252,2,180,171,176
198,4,228,207,214
39,9,179,159,161
100,24,242,227,248
269,12,234,196,183
184,13,231,186,180
5,38,147,138,141
197,21,167,87,98
158,7,241,199,219
254,10,228,198,200
268,31,182,212,202
235,12,209,190,192
138,1,197,206,201
159,39,211,196,201
124,21,226,184,170
19,31,193,185,200
56,18,202,211,182
146,15,232,213,196
92,16,222,165,197
144,4,232,221,215
236,24,235,206,198
90,21,210,135,178
136,37,222,210,214
31,6,203,167,177
203,6,237,216,221
250,6,204,195,196
110,17,240,226,239
54,23,226,225,221
1,19,203,174,178
292,18,117,91,92
290,40,134,125,128
198,21,200,123,133
293,21,100,79,78
84,29,234,232,235
164,25,104,181,189
127,19,220,180,168
79,8,221,168,196
272,8,207,189,189
5,37,153,144,147
119,9,236,202,192
186,14,255,198,202
140,18,228,107,124
298,35,163,148,153
181,3,220,203,209
116,23,215,173,161
286,16,171,191,164
218,11,238,228,229
183,14,200,146,146
53,12,190,172,168
216,40,183,178,184
259,1,160,160,160
57,26,230,231,226
267,13,236,199,190
183,27,216,177,178
62,27,182,198,172
60,11,161,170,149
47,30,234,209,215
120,32,240,228,232
218,7,230,218,220
232,17,214,198,201
156,18,210,153,194
30,40,152,143,146
195,30,237,236,231
145,21,255,215,224
144,1,190,214,200
165,0,208,189,193
177,23,175,135,198
187,24,255,179,184
68,27,175,187,163
106,39,205,193,197
284,10,146,161,138
259,19,215,183,184
280,16,218,203,180
37,35,189,180,183
219,12,241,229,233
30,36,179,170,173
62,17,243,232,236
48,4,196,181,188
261,22,255,209,209
24,30,216,190,189
49,27,214,210,209
69,30,233,224,225
159,23,249,223,236
179,3,223,207,210
190,28,250,208,218
13,23,232,161,169
